intent,query,answer
전자정보통신공학과,3학년 전공,"전자정보통신공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 전자회로1(전필·3), 통신이론(전필·3), 전자기1(전필·3), 기초반도체(전필·3), 데이터통신(전필·3), 디지털신호처리(전필·3), 기초광학및실험(전선·3), 하드웨어프로그래밍(전선·3), 데이터구조론(전선·3), 랜덤프로세스(전선·3), 자동제어(전선·3)
[2학기] 광전자공학(전필·3), 컴퓨터네트워크(전필·3), 디지털통신시스템(전필·3), 음성처리(전필·3), 영상처리(전필·3), 데이터분석과도표작성(전선·3), 반도체소자설계(전선·3), 전자회로2(전선·3), 디스플레이공학(전선·3), 전자기2(전선·3), 반도체공학(전선·3), 데이터통신설계(전선·3), 네트워크프로그래밍(전선·3), 임베디드시스템(전선·3), 정보시스템설계(전선·3), 정보이론(전선·3)"
전자정보통신공학과,4학년 전공,"전자정보통신공학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 캡스톤디자인A(전선·3), 인턴쉽A(전선·3), 전자정보통신공학특강A(전선·3), 전자회로설계(전선·3), 집적회로(전선·3), 반도체공정실험(전선·3), 플라즈마공학(전선·3), 초고주파공학(전선·3), 통신시스템설계(전선·3), 무선네트워크(전선·3), 무선통신공학(전선·3), 시스템반도체(전선·3), 광통신공학(전선·3), 멀티미디어설계(전선·3), 멀티미디어통신(전선·3), 인공지능(전선·3), 음향공학(전선·3), 마이크로컴퓨터실험(전선·3), 태양전지공학(전선·3)
[2학기] 졸업연구및진로2(전선·1), 캡스톤디자인B(전선·3), 인턴쉽B(전선·3), 전자정보통신공학특강B(전선·3), 반도체에너지공학(전선·3), 응용광학(전선·3), 전기전자재료공학(전선·3), 수치해석(전선·3), 안테나공학(전선·3), 광반도체및LED공학(전선·3), 유선통신공학(전선·3), 차세대이동통신(전선·3), 광통신시스템(전선·3), 방송시스템(전선·3), 디지털제어(전선·3), 패턴인식(전선·3), K-MOOC:무선인터넷의이해(전선·1)"
전자정보통신공학과,전공,"전자정보통신공학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 선형대수(전필·3)
[1학년 2학기] 프로그래밍(전필·3)
[2학년 1학기]전기회로(전필·3), 확률및랜덤변수(전필·3), MATLAB프로그래밍(전선·3), 디지털논리회로(전선·3)
[2학년 2학기] 신호및시스템(전필·3), 기초설계(전필·3), 물리전자공학(전필·3), JAVA프로그래밍(전선·3), 전기회로실험(전선·3), 컴퓨터구조론(전선·3)
[3학년 1학기] 전자회로1(전필·3), 통신이론(전필·3), 전자기1(전필·3), 기초반도체(전필·3), 데이터통신(전필·3), 디지털신호처리(전필·3), 기초광학및실험(전선·3), 하드웨어프로그래밍(전선·3), 데이터구조론(전선·3), 랜덤프로세스(전선·3), 자동제어(전선·3)
[3학년 2학기] 광전자공학(전필·3), 컴퓨터네트워크(전필·3), 디지털통신시스템(전필·3), 음성처리(전필·3), 영상처리(전필·3), 데이터분석과도표작성(전선·3), 반도체소자설계(전선·3), 전자회로2(전선·3), 디스플레이공학(전선·3), 전자기2(전선·3), 반도체공학(전선·3), 데이터통신설계(전선·3), 네트워크프로그래밍(전선·3), 임베디드시스템(전선·3), 정보시스템설계(전선·3), 정보이론(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 캡스톤디자인A(전선·3), 인턴쉽A(전선·3), 전자정보통신공학특강A(전선·3), 전자회로설계(전선·3), 집적회로(전선·3), 반도체공정실험(전선·3), 플라즈마공학(전선·3), 초고주파공학(전선·3), 통신시스템설계(전선·3), 무선네트워크(전선·3), 무선통신공학(전선·3), 시스템반도체(전선·3), 광통신공학(전선·3), 멀티미디어설계(전선·3), 멀티미디어통신(전선·3), 인공지능(전선·3), 음향공학(전선·3), 마이크로컴퓨터실험(전선·3), 태양전지공학(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 캡스톤디자인B(전선·3), 인턴쉽B(전선·3), 전자정보통신공학특강B(전선·3), 반도체에너지공학(전선·3), 응용광학(전선·3), 전기전자재료공학(전선·3), 수치해석(전선·3), 안테나공학(전선·3), 광반도체및LED공학(전선·3), 유선통신공학(전선·3), 차세대이동통신(전선·3), 광통신시스템(전선·3), 방송시스템(전선·3), 디지털제어(전선·3), 패턴인식(전선·3), K-MOOC:무선인터넷의이해(전선·1)"
전자정보통신공학과,공학인증,"전자정보통신공학과 공학인증 홈페이지입니다.
전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1901.html"
전자정보통신공학과,23학번 공학인증,"23학번 전자정보통신공학과 공학인증 교과과정입니다.
23학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_9.html"
전자정보통신공학과,22학번 공학인증,"22학번 전자정보통신공학과 공학인증 교과과정입니다.
22학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_8.html"
전자정보통신공학과,21학번 공학인증,"21학번 전자정보통신공학과 공학인증 교과과정입니다.
21학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_1.html"
전자정보통신공학과,20학번 공학인증,"20학번 전자정보통신공학과 공학인증 교과과정입니다.
20학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_2.html"
전자정보통신공학과,19학번 공학인증,"19학번 전자정보통신공학과 공학인증 교과과정입니다.
19학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_3.html"
전자정보통신공학과,18학번 공학인증,"18학번 전자정보통신공학과 공학인증 교과과정입니다.
18학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_4.html"
전자정보통신공학과,17학번 공학인증,"17학번 전자정보통신공학과 공학인증 교과과정입니다.
17학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_5.html"
전자정보통신공학과,16학번 공학인증,"16학번 전자정보통신공학과 공학인증 교과과정입니다.
16학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_6.html"
전자정보통신공학과,15학번 공학인증,"15학번 전자정보통신공학과 공학인증 교과과정입니다.
15학번 전자정보통신공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1902_7.html"
반도체시스템공학과,조교실 정보 좀,"반도체시스템공학과 조교실 정보는 아래와 같습니다.
위치 : 광개토관 1105A호 / 전화 : 02-3408-3653 / 이메일 : ssedpt@sejong.ac.kr"
반도체시스템공학과,과사무실,"반도체시스템공학과 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 1105A호 / 전화 : 02-3408-3653 / 이메일 : ssedpt@sejong.ac.kr"
반도체시스템공학과,과사무실 위치,반도체시스템공학과 과사무실 위치는 광개토관 1105A호입니다.
반도체시스템공학과,과사무실 전화번호,반도체시스템공학과 과사무실 전화번호는 02-3408-3653입니다.
반도체시스템공학과,이메일,반도체시스템공학과 과사무실 이메일은 ssedpt@sejong.ac.kr입니다.
반도체시스템공학과,홈페이지,"반도체시스템공학과 홈페이지입니다.
반도체시스템공학과 : http://home.sejong.ac.kr/~sse/"
반도체시스템공학과,공지사항,"반도체시스템공학과에서 제공하는 학과 공지사항입니다.
반도치세시스템공학과 학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=sse&menuID=12"
반도체시스템공학과,취업공고,"반도체시스템공학과에서 제공하는 취업공고입니다.
반도체시스템공학과 취업공고 : http://home.sejong.ac.kr/~sse/15.html"
반도체시스템공학과,반도체 동향,"반도체시스템공학과에서 제공하는 반도체 동향입니다.
반도체 동향 : http://home.sejong.ac.kr/~sse/22.html"
반도체시스템공학과,전공소개,"반도체시스템공학과는 반도체 공정, 반도체 소자, 반도체 설계 등 반도체 전반의 핵심 및 요소 기술을 심도 있게 교육하여 반도체 분야를 선도하는 실무형 인재를 양성하는 것을 목표로 합니다. 또한, 매우 빠르게 발전하는 반도체 기술에 적응하고 글로벌 경쟁에서 우위를 차지할 수 있는 신기술 연구에 앞장설 수 있는 고급 인재를 양성하기 위한 교육환경 및 기반을 제공합니다."
반도체시스템공학과,주전공,"전공필수과목은 15학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 60점 이상이어야 합니다."
반도체시스템공학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
반도체시스템공학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
반도체시스템공학과,부전공,전자정보통신공학과 전공과목 중에서 21학점 이상 이수해야 합니다.
반도체시스템공학과,1학년 전공,"반도체시스템공학과 1학년 전공수업 목록은 아래와 같습니다.
[2학기] 반도체개론(전필·3)"
반도체시스템공학과,2학년 전공,"반도체시스템공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 연구실인턴(전필·3), 전기회로(전선·3), 디지털회로설계(전선·3), 반도체재료공학(전선·3), 확률및랜덤프로세스(전선·3)
[2학기] 반도체특화연구및실험1(전필·3), 물리전자공학(전필·3), 회로이론및실습(전선·3), 전자회로1(전선·3), 신호및시스템(전선·3), 기계학습개론(전선·3), 컴퓨터구조(전선·3), 박막공학(전선·3)"
반도체시스템공학과,3학년 전공,"반도체시스템공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 반도체특화연구및실험2(전필·3), 전자회로2(전선·3), 디지털신호처리(전선·3), 신경망구조(전선·3), 시스템소프트웨어(전선·3), 반도체소자공학(전선·3), 나노소재의합성및응용(전선·3), 전자기학(전선·3)
[2학기] 신호처리응용(전선·3), 하드웨어구현언어(전선·3), 반도체CAD실험(전선·3), TCAD시뮬레이션및설계(전선·3), 반도체공정(전선·3), 디스플레이공학(전선·3)"
반도체시스템공학과,4학년 전공,"반도체시스템공학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 반도체종합설계A(전선·6), 시스템반도체설계(전선·3), 반도체소자응용(전선·3), 마이크로패키징(전선·3), 반도체소자제작및실습1(전선·3), 반도체시스템이론및실습(전선·3)
[2학기] 졸업연구및진로2(전선·1), 반도체종합설계B(전선·6), 고급소자물리(전선·3), 차세대메모리소자(전선·3), 반도체재료분석(전선·3), 반도체소자제작및실습2(전선·3)"
반도체시스템공학과,전공,"반도체시스템공학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] -
[1학년 2학기] 반도체개론(전필·3)
[2학년 1학기] 연구실인턴(전필·3), 전기회로(전선·3), 디지털회로설계(전선·3), 반도체재료공학(전선·3), 확률및랜덤프로세스(전선·3)
[2학년 2학기] 반도체특화연구및실험1(전필·3), 물리전자공학(전필·3), 회로이론및실습(전선·3), 전자회로1(전선·3), 신호및시스템(전선·3), 기계학습개론(전선·3), 컴퓨터구조(전선·3), 박막공학(전선·3)
[3학년 1학기] 반도체특화연구및실험2(전필·3), 전자회로2(전선·3), 디지털신호처리(전선·3), 신경망구조(전선·3), 시스템소프트웨어(전선·3), 반도체소자공학(전선·3), 나노소재의합성및응용(전선·3), 전자기학(전선·3)
[3학년 2학기] 신호처리응용(전선·3), 하드웨어구현언어(전선·3), 반도체CAD실험(전선·3), TCAD시뮬레이션및설계(전선·3), 반도체공정(전선·3), 디스플레이공학(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 반도체종합설계A(전선·6), 시스템반도체설계(전선·3), 반도체소자응용(전선·3), 마이크로패키징(전선·3), 반도체소자제작및실습1(전선·3), 반도체시스템이론및실습(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 반도체종합설계B(전선·6), 고급소자물리(전선·3), 차세대메모리소자(전선·3), 반도체재료분석(전선·3), 반도체소자제작및실습2(전선·3)"
