대분류,소분류,내용
복지시설,학생생활상담소,				여러 심리검사를 통하여 자신의 성격·심리적 적응 정도 ·적성 등에 대한 객관적을 이해하는데 도움을 준다.				• 성격검사 - MBTI(성격유형검사) : 일반적인 성격이해• 심리진단검사 - MMP(다면적 인성검사) : 심리적 적응, 정신건강 상태에 대한 이해• 적성검사 - 적성탐색검사 : 적성에 적합한 직업 탐색• 지능검사 - K-WAIS(성인 지능검사) : 언어 및 동작성 지능• 기타 - Rorschach, TAT, 애니어그램, LCSI 등＊ 적성탐색검사(30분 소요)개인의 성격, 능력, 유능감, 직업적 흥미를 알아봄으로써 장래에 어떤 진로를 선택하는 것이 바람직한가를 결정하는데 도움을 준다. 분류되는 6가지 직업 분야에 개인이 어느 정도의 흥미를 가지고 있는지와 유능감의 정도 등 다차원을 고려하여 일반 적성을 알려주며, 또한 검사를 하는 과정에서 현재 상황과 여러 차원에 따라 구체적인 직업을 스스로 살필 수 있다는 장점이 있다.＊ 성격유형검사(MBTI) (30분소요)성격유형검사는 융의 심리유형론을 바탕으로 개발된 '성격유형 선호지표'로서 개인과 타인의 성격 역동을 이해하는데 유용한 검사이다. 성격유형으로는 내향-외향(주의 집중의 방향), 감각-직관(인식 방법), 사고-감정(판단 방법), 판단-인식(생활방식)의 4가지 차원, 총 16가지 성격 조합이 있다. 성격유형검사를 통하여 자신이 16가지 중 어떤 성격에 해당되는지 확인하고 또한 4가지 차원에 대한 선호정도를 파악함으로써 개인의 성격, 대인관계, 지로/적성을 평가할 수 있다.＊ 다면적 인성검사 (1시간 소요)다면적 인성검사는 개인이 정신적으로 잘 적응하여 건강한 생활을 영위하고 있는가를 알아보려는 검사이다. 검사결과를 통해 각종 심리적 부적응 이상상태를 알아낼 수 있으며, 그에 따른 심리적 문제들을 예방, 교정, 치료하는데 도움을 얻을 수 있다.학교나 가정, 대인관계에서의 어려움으로 인한 부적응을 느끼는 분들이나 정신건강 여부를 알고 싶은 분들에게 그 여부를 알려준다. 
복지시설,학생생활상담소,성폭력/성희롱 피해 신고 안내
복지시설,학생생활상담소,• 성폭력 피해신고는 다음과 같은 절차로 이루어집니다.				성폭력 피해신고서 작성 (피해자)→ 신고 신청 접수 및 사건 처리 결정(상담소) → 성폭력 피해 조사위원회 소집 (상담소/학생지원처) → 사건조사(조사위원회) → 사건처리에 대한 의견 회부(조사위원회) → 징계위원회의 징계 요청 발의(상담소장) → 징계, 상담, 교육• 성희롱 및 성폭력 피해를 당한 경우에는 우선 상담신청을 하여 상담을 진행하면서 성폭력 피해의 사후처리를 도움 받습니다.• 피해신고: 상담소를 직접 내방(학생회관 310호)하거나 e-mail 또는 전화 문의 바랍니다.
복지시설,학생생활상담소,Online상에서 다양한 서비스
복지시설,학생생활상담소,e-mail 상담신청
복지시설,학생생활상담소,			직접 찾아와 상담을 받기 어렵거나 곤란한 경우 또는 성폭력 등과 관련된 문제로 고민하는 학생들에게 도움을 주기 위한 일회적인 상담이다. e-mail로 문의하면 상담원 선생님이 친절하게 답해준다.상담소 E / socre@sejong.ac.kr
복지시설,학생생활상담소,홈페이지 운영(http://home.sejong.ac.kr/~scc/)
복지시설,학생생활상담소,① 진로·학업·정신건강 클리닉 개설 : 세종인들이 자신의 진로·학업·심리적 적응 상태를 점검해보고, 진로계획, 학업 및 심리적  문제에 대한 다양한 심리학적인 '정보'를 제공함으로써 학생들의 적응·학업·정신건강에 대한 이해를 돕고자 한다.② 성폭력추가운영 : 성폭력의 정의, 종류 및 유형, 관련법, 관련자료 및 기사 등을 제공하여 성폭력에 대한 학생들의 이해를 높이는데 목표를 둔다. 또한 익명성이 철저히 보장되는 상담신청란을 두어 직접 찾아오기 어려워하는 학생들에게 편리를 제공하고 있다.
복지시설,학생생활상담소,SNS 운영
복지시설,학생생활상담소,- Facebook에서 ‘세종대학교 학생생활상담소’ 페이지 검색 후 「메세지 보내기」로 문의하시면 됩니다.
복지시설,학생생활상담소,온라인 상담신청
복지시설,학생생활상담소,- 자세한 내용은 학생회관 310호에 위치한 학생생활상담소 (☎ 02-3408-3336, 홈페이지  )로 문의하면 된다.			학생생활상담소 이런 경우 이용하세요01. 전공이나 진로가 고민될 때02. 대인관계가 힘들고 원만하지 못할 때03. 매사 왠지 자신이 없고 열등감이 느껴질 때04. 이유없이 한없이 우울해질 경우 / 괜히 초조, 불안한 경우05. 이성문제가 고민될 경우06. 부모나 형제와의 갈등으로 혼란스러운 경우07. 적극적인 성격으로 자신을 개발하고 싶은 경우위에서 언급한 문제들이나 그 밖의 문제들로 갈등될 때 학생생활상담소를 찾아오세요. 					전문 상담원이 여러분을 도와드릴 것입니다
복지시설,보건실,설립목적
복지시설,보건실,보건실은 학생과 교직원의 건강을 보호ㆍ증진함을 목적으로 설립되었습니다. 이를 위하여 투약, 구급의약품 지급, 건강상담 등을 실시하고 있으며 학부 및 대학원 재학생들의 “건강한 대학생활”을 위하여 최선을 다하고 있습니다.
복지시설,보건실,보건실은 학생과 교직원의 건강을 보호ㆍ증진함을 목적으로 설립되었습니다. 이를 위하여 투약, 구급의약품 지급, 건강상담 등을 실시하고 있으며 학부 및 대학원 재학생들의 “건강한 대학생활”을 위하여 최선을 다하고 있습니다.
복지시설,보건실,1차 보건진료
복지시설,보건실,일반의약품과 드레싱 세트가 준비되어 있어 단순증상에 대한 투약(전문의약품 제외) 및 가벼운 외상치료를 무료로 받을 수 있습니다.
복지시설,보건실,일반의약품과 드레싱 세트가 준비되어 있어 단순증상에 대한 투약(전문의약품 제외) 및 가벼운 외상치료를 무료로 받을 수 있습니다.
복지시설,보건실,일반의약품과 드레싱 세트가 준비되어 있어 단순증상에 대한 투약(전문의약품 제외) 및 가벼운 외상치료를 무료로 받을 수 있습니다.
복지시설,보건실,일반의약품과 드레싱 세트가 준비되어 있어 단순증상에 대한 투약(전문의약품 제외) 및 가벼운 외상치료를 무료로 받을 수 있습니다.
복지시설,보건실,교내 응급환자 발생시 일차적인 응급처치 및 병원으로의 후송
복지시설,보건실,의료기구 비치
복지시설,보건실,신장체중비만도자동측정기, 시력표, 색각검사표, 자동혈압측정기, 혈당측정기 등을 이용할 수 있습니다.
복지시설,보건실,목발 대여
복지시설,보건실,대여기간은 기본 1개월로 필요시 연장 가능합니다.
복지시설,보건실,안정실 이용
복지시설,보건실,응급환자의 안정이 필요하다고 판단되는 경우 안정실을 이용할 수 있습니다.
복지시설,보건실,질병의 치료와 예방에 관한 상담
복지시설,보건실,질병의 조기발견 및 건강에 대한 올바른 지식의 제공으로 건강생활을 돕고 있습니다.
복지시설,보건,기타 학생보건에 필요하다고 인정되는 일
복지시설,보건실,전화 :02)3408-3089|위치 :집현관 109A
교내시설,학술정보원/도서관,시설 및 자료 현황
교내시설,학술정보원/도서관,시설현황
교내시설,학술정보원/도서관,위치시설명면적(㎡)열람석수비고(이용자용)10F기증문고서고/보존서고1,028.720폐가제서고9F제3자료실1,028.72134자유이용및검색용PC(4),스캐너(3),프린터(1),복사기(1)8F자유열람실/학술전산처장실1,055.78706 7F스터디룸(13개실)/여학생휴게실/화상회의실/중앙서버룸1,807.70353빔프로젝터(6),스터디룸PC(2),여학생휴게실PC(4),복사기(1)6F제2자료실1,799.34378자유이용및검색용PC(3),프린터(1),복사기(2)5F제1자료실1,799.34390자유이용및검색용PC(7),프린터(1),복사기(2)4F창의토론라운지/스터디룸(11개실)/전산실습실/교수학습개발센터/독서당/교양영어테스트센터1,799.34260실습PC(94),노트북전용석(80),복사기(1)3F자유열람실/인터넷라운지/노트북전용석/특정반스터디룸1,799.34670자유이용PC(44),노트북전용석(84)2F대출실/전자정보실/교육실/학술정보실/전산정보실1,850.700자유이용PC(153),교육실PC(29),빔프로젝터(1),프린터(5),복사기(2)1FA/B/C자유열람실/카페드림/스터디룸(6개실)/女友공간1,731.52610자유이용PC(2),복사기(1)B1D자유열람실799.56330B2보존서고813.420폐가제서고합계(준공연도 : 2000년)17,313.483,831
교내시설,학술정보원/도서관,이용안내
교내시설,학술정보원/도서관,이용시간
교내시설,학술정보원/도서관,구분학기중방학중평일토요일대출실·자료실09:00 ~ 22:0009:00 ~ 17:0009:00 ~ 17:00자유열람실24시간, 연중무휴
교내시설,학술정보원/도서관,대출안내
교내시설,학술정보원/도서관,구분책수 / 기간대출연장학부생7책 10일2회대학원생10책 30일2회글로벌지식교육원생세종사이버대학생5책 10일2회
교내시설,학술정보원/도서관,대출제한도서
교내시설,학술정보원/도서관,참고도서(R), 정기간행물(P), 과제도서, 학위논문(T) 등
교내시설,학술정보원/도서관,도서열람 대출증 발급
교내시설,학술정보원/도서관,본인의 학생증을 이용해 자료를 대출할 수 있다.
교내시설,학술정보원/도서관,도서연체 및 변상
교내시설,학술정보원/도서관,① 연체 : 반납예정일을 기준으로 1책 1일당 100원의 연체료 부과② 연체 또는 미반납도서가 있을 경우 : 대출불가, 제증명서 발급보류, 휴학불가③ 대출한 도서의 분실 또는 훼손				- 대출실로 분실신고를 하고, 5일 안에 동일한 자료로 변상- 동일한 자료로 변상할 수 없을 시에는 유사자료나 현금으로 변상
교내시설,학술정보원/도서관,① 연체 : 반납예정일을 기준으로 1책 1일당 100원의 연체료 부과② 연체 또는 미반납도서가 있을 경우 : 대출불가, 제증명서 발급보류, 휴학불가③ 대출한 도서의 분실 또는 훼손				- 대출실로 분실신고를 하고, 5일 안에 동일한 자료로 변상- 동일한 자료로 변상할 수 없을 시에는 유사자료나 현금으로 변상
교내시설,학술정보원/도서관,대출증과 대출한 도서는 타인에게 빌려줄 수 없다
교내시설,학술정보원/도서관,학술정보원 홈페이지
교내시설,학술정보원/도서관,① 학술정보원 홈페이지에서는 자료의 유형과 특성에 따라 다양한 검색 방법을 제공하고 있는데, 학술정보원에서 소장하고 있는 물리적인 장서에 대한 검색 서비스 · 온라인을 통해 서비스되는 각종 전자자원의 검색서비스 및 학술정보로 유용한 외부 온라인 정보자원에 대한 검색 서비스를 제공하는 아티클검색(확장검색) 서비스를 제공하고 있으며, 대출조회, 대출연장, 예약, 희망도서신청 등의 개인별 맞춤서비스가 가능하다.② 접속방법				- 학술정보원 홈페이지 - 학술정보원 모바일 홈페이지 -->- 로그인 : 아이디(학번), 패스워드(주민등록번호 앞 6자리), 로그인 후 개인정보 변경가능
교내시설,학술정보원/도서관,학술정보원 서비스 안내
교내시설,학술정보원/도서관,My Library
교내시설,학술정보원/도서관,(1) 대출조회/연장 : 자신의 대출현황을 확인하여 볼 수 있으며, 연장 아이콘을 클릭하여 직접 대출기간 연장도 할 수 있다.(2) 개인정보 : 비밀번호·e-mail·휴대전화번호 등의 변경이 가능하며, 등록된 연락처로 예약도서·구입희망도서·우선정리도서·대출도서 반납예정일 등의 통보가 이루어진다.(3) 희망도서신청 : 학술정보실에 소장하고 있지 않은 자료를 이용자가 구입신청 할 수 있으며 도서정보검색을 통해 신청하거나 서명·저자·출판사·출판년도 등을 직접 입력해서 신청하는 것도 가능하다. 1인당 연간 10책, 30만원 이내로 신청할 수 있으며 처리상태를 확인할 수 있다. 도서정보검색 버튼을 클릭하여 원하는 자료 검색 후 신청을 하면 검색된 데이터가 별도의 입력 작업없이 바로 신청된다.(4) 우선정리도서 : 학술정보실에 입수되어 정리중인 자료에 대하여 이용자의 우선정리요청이 있는 경우 가능한 24시간내에 정리완료하여 이용할 수 있게 하는 서비스이다. 검색한 자료의 도서상태가 ‘정리중’일 때 검색결과 상세화면에서 ‘우’ 아이콘을 클릭하여 신청할 수 있으며, 정리완료가 되면 e-mail과 SMS로 처리 결과가 통보된다. 신청자에게 대출우선권이 부여되기 때문에 원하는 자료를 보다 신속하게 이용할 수 있다.(5) 서가에 없는 도서 신청 : 자료 검색 결과 대출가능 상태인데도 불구하고 서가에서 자료를 찾을 수 없을 때, 홈페이지 도서검색결과 상세화면 오른쪽에 있는 ‘서’ 아이콘을 클릭하여 확인한 후 요청하면 된다.
교내시설,학술정보원/도서관,이용자서비스
교내시설,학술정보원/도서관,(1) 교외접속서비스 : 교내에서만 이용할 수 있었던 전자저널·Web-DB·전자책 등 전자자료를 교외 어디에서나 이용 가능하게 하는 서비스이다. 이용방법은 학술정보실 ID/PW로 로그인하면 전자자료를 이용할 수 있다.(2) 원문복사서비스 : 소장하고 있지 않은 자료에 대해 타도서관에 신청하여 유료로 복사받는 서비스이다. KERIS·NDSL 웹사이트를 통한 직접 신청 또는 학술정보실 담당사서를 통한 신청도 가능하다.(3) 상호대차서비스 : 소장하고 있지 않은 자료에 대해 타도서관에 신청하여 유료로 대출받는 서비스이다. KERIS를 통해 이용할 수 있으며, 학술정보실 담당사서에게 인증을 받은 후 신청할 수 있다. 한 번 이용 시 최대 3책, 15일간 대출이 가능하다.(4) 타도서관열람의뢰 : 홈페이지에서 타도서관 이용의뢰서 양식 작성 후 확인을 클릭하면 타도서관이용의뢰서 자동 신청이 이루어지며, 직접 출력하여 타도서관을 이용할 수가 있다. 타도서관에서의 대출은 불가능하며 자료 열람만 가능하다.(5) 스터디룸예약 : 분임토의 및 발표수업 준비를 위한 수업보조 서비스와 교내 모든 단체 및 동아리의 토론학습을 위한 공간으로 1층, 4층, 7층에 위치하고 있다. 온라인예약 후 이용이 가능하며, 예약 후 미 사용시 예약취소를 해야만 제재가 발생하지 않는다.(6) 모바일도서관 : 기존의 온라인 데스크 업무 위주로 공간과 시간에 제한을 받던 전자도서관 서비스를 모바일화하여 휴대폰으로 이용할 수 있도록 구현한 서비스로 학술정보실 홈페이지의 공지사항 조회·소장자료검색·도서예약 및 연장·MyLibrary 기능 이용이 가능하며, 학술정보실 출입·자유열람실 좌석배정·도서 대출시 기존의 카드 학생증과 더불어 홈페이지에서 모바일이용증을 신청하고 어플리케이션을 다운로드 받아 인증을 거친 후 사용할 수 있다.(7) 이용자교육신청 : 학술정보실 전반에 대한 이용안내, 전문화되고 고급화된 정보검색 교육을 위해 정기교육 및 맞춤교육을 실시하고 있다. 홈페이지를 통해 신청할 수 있으며 정기교육은 학기 중 1회 실시되며, 특히 맞춤교육은 5인 이상 신청 시 실시하고 있다. 신입생 및 편입생은 홈페이지의 이용자교육동영상을 시청한 후 인증처리를 해야만 자료 대출이 가능하다.
교내시설,학생회관,층별안내
교내시설,학생회관,구분시설현황6층동아리실, ZIUM, 세종대신문사, 영자신문사, 군자방송국 SKBS, 세미나실5층동아리실4층총학생회 및 산하기구, 단과대학생회, 예비역협의회, 동아리연합회3층Sejong Lounge, 학생생활상담소, 취창업지원처2층Global Lounge, 보건실, 대외협력처, 학생편의시설1층대학일자리사업단, 학생편의시설지하 1층대공연장, 소공연장, 학생식당지하 2층동아리 연습실, 체력단련실
교내시설,시설물 이용안내,과외활동을 목적으로 축구, 야구 등 각종 스포츠 활동 및 연구·음악공연, 세미나·특강·전시회 등을 위한 각종 동아리, 소모임 행사를 하고자 할 때에는 다음과 같은 소정의 절차를 거쳐 학교시설물을 이용할 수 있습니다.
교내시설,시설물 이용안내,사용방법
교내시설,시설물 이용안내,대운동장, 대양홀, 소극장, 강의실, 애지헌교회, 전시실 등
교내시설,시설물 이용안내,신청방법
교내시설,시설물 이용안내,사용하고자 하는 날 기준으로 10일 전부터 예약 가능하며, 학생지원관( T/ 02-3408-3055 )에서 「시설물 사용신청서」를 작성·접수하여 사용하되, 사용허가 부서의 승인을 받아야 합니다.
교내시설,시설물 이용안내,구분위치사용일 개방시간활동내용면적(㎡)시설수용인원비고운동장 월~금 09:00~21:00토~일 09:00~18:00체육활동19,000시설 - 체육학과 조교실 문의  (T/3408-3325)- 야간조명 사용시  시설과문의  (T/3408-3676)소극장 월~금 09:00~21:00공연207음향100명- 동아리연합회 문의  (T/02-3408-3379)전시실광개토관지하1층월~금 09:00~17:00전시1,220  - 갤러리 조교실문의 02)3408-4164대양홀 월~금 09:00~17:00공연, 상영, 특강1,732음향, 빔, 스크린2,500명 애지헌 월~금 09:00~17:00특강302  - 애지헌 조교실 문의  (T/02-3408-3538)강의실 월~금 09:00~18:00강의, 세미나 빔, 스크린40~200명- 수업과 문의  (T/02-3408-3497)* 광개토관 전시실 사용 신청은 1개월 전까지 하여야 합니다.
교내시설,편의시설,기타 교내시설
교내시설,편의시설,구분시설명위치전화번호비고						생협사무국						율곡관 지하1층						02-3408-3551						&nbsp;					식당교직원식당군자관 6층010-5057-6839진관키친진관홀 B1층010-2555-2223빅베어레스토랑 대양ai센터 2층010-6460-0071학생회관푸드코트학생회관 B1층010-2380-1458기타식당미스사이공쌀국수학생회관 1층010-7449-5747얍샘김밥010-3572-3230석관동떡볶이010-2705-4090패스트푸드 및베이커리리얼후라이학생회관 1층010-4738-2104파리바게트010-5619-4935편의점 및 매점이마트24시광개토관 B1층010-5057-6839이마트24시율곡관 B1층매점진관홀 B1층010-2555-2223매점군자관 B1층CU편의점학생회관 1층010-8153-7087CU편의점대양ai센터 1층010-5328-1873커피전문점카페딕셔너리광개토관 B1층010-9913-7422컴포즈커피김원관 1층010-4502-7087카페딕셔너리충무관 1층010-9913-7422제주몰빵학생회관 2층010-9954-6789팬더로쉬학생회관 1층010-4097-1828카페드림학술정보원 1층010-9160-3455투썸플레이스대양ai센터 1층010-4502-7087기타시설대학서적군자관 1층010-3336-8142사진관010-4725-1252안경점010-4230-6300여행사010-6317-0412세종카피시스탬(복사실)군자관 1층02-498-9670세종카피시스탬(복사실)충무관 1층병원 및 약국세종스포츠병원대양ai센터 1층010-8947-0887세종약국대양ai센터 1층010-9916-8802은행국민은행김원관 1층02)3409-9213
교내시설,식당안내,위치(식당명)운영시간메뉴 구성금액학기중방학중						광개토관 15F(스카이레스토랑 찬)																					점심(lunch):11:00~14:30								저녁(dinner):16:30~19:00								토요일(lunch):11:00~14:30								(일요일, 공휴일 휴무)																																		점심(lunch):11:00~14:30								저녁(dinner):16:30~19:00								토요일(lunch):11:00~14:30								(일요일, 공휴일 휴무)																																		뷔 페 (현미밥 / 백미밥 or 잡곡밥에 샐러드, 과일, 국을 포함하여 10~11찬														* 추가메뉴															할랄음식								돈까스								차돌된장찌개								황태해장국								삼계탕																																			점심:4,500원								저녁:5,000원								토요일:5,000원														* 추가메뉴															할랄음식 - 6,000원								돈까스 - 1,500원								차돌된장찌개 - 2,500원								황태해장국 - 3,500원								삼계탕 - 7,500원																		 -->군자관 6F(계절밥상)영업시간 : 10:30 ~ 18:30break time : 없음(토요일 일요일, 공휴일 휴무)영업시간 : 10:30 ~ 18:30break time : 없음(토요일 일요일, 공휴일 휴무)반찬8찬/국/미니 샐러드바 6,000원학생회관 B1층(푸드코트)영업시간 : 10:30~19:00break time : 15:00 ~ 16:30(토요일,일요일, 공휴일 휴무)영업시간 : 11:00~18:30break time : 15:30 ~ 16:30(토요일,일요일, 공휴일 휴무)분식(떡볶이 外 15종)양식(오믈렛 外 10종)일식(돈까스 外 15종)2,500원~6,500원진관홀 B1층(진관키친)영업시간 : 09:00~19:00break time : 없음(토, 일요일, 공휴일 휴무)영업시간 : 09:00~15:30break time : 없음(토, 일요일, 공휴일 휴무)컵밥참치마요비빔밥순두부찌개회덮밥치즈돈가스외 30여가지 메뉴2,800원~5,800원빅베어8레스토랑영업시간 : 11:30~21:00(토요일, 일요일 정상영업)(명절만 휴무추석, 구정])영업시간 : 11:30~21:00(토요일, 일요일 정상영업)(명절만(추석, 설날 휴무)스테이크스파케티리조뜨피자샐러드 외 16,000원 ~ 32,000원복지시설,기숙사 안내,새날관 행복(공공)기숙사 현황
복지시설,기숙사 안내,① 2인 1실로 각 실마다 욕실, 에어컨, 침대, 책상 완비② 장애인 전용 1인실 보유③ 편의시설 : 학생식당, 남/여 세탁실, 휴게실, 세미나실, 인터넷라운지, 유료복합기 등
복지시설,기숙사 안내,신청대상
복지시설,기숙사 안내,① 학부 신입생, 재학생(※ 휴학생은 복학예정자에 한함)				- 대학원, 글로벌지식교육원, 국제교육원생 제외② 직전학기 성적이 2.0 이상인 자(※신입생은 해당 없음))③ 위 조건을 모두 충족하면서 대학의 방침 및 규정을 준수 할 수 있는 자④ 이전 학기 행복(공공)기숙사 거주 시 과벌점이 부여된 학생 및 강제퇴사자는 제외
복지시설,기숙사 안내,신청방법
복지시설,기숙사 안내,① 세종대학교 행복(공공)기숙사 홈페이지 http://happydorm.sejong.ac.kr  입사신청 클릭② 입사신청 시 4개월, 6개월 선택하여 입사가능(※6개월 신청자 우선선발)
복지시설,기숙사 안내,선발기준
복지시설,기숙사 안내,① 신청자 중 무작위 추첨방식으로 선발② 6개월(반기) 신청자 우선선발③ 소외계층학생의 주거복지를 위하여 장애우 및 저소득계층(기초생활수급자, 차상위계층) 등 소외계층 학생을 우선 선발 함.④ 특별입학자, 학생조교사감 등은 대외협력과 대학의 방침을 우선 함.
복지시설,기숙사 안내,입사제한
복지시설,기숙사 안내,① 전염병 질환 감염자 및 기숙사 운영규정, 생활수칙 미 준수자, 입사조건 미동의자② 최근 3개월 내 건강검진서 미제출자			- 가까운 보건소 또는 병•의원에서 발급하는 건강검진서를 발급받은 후 정기 입사일에 서류 제출 함)③ 세종대학교 학칙에 의한 정학 이상의 징계처분을 받거나 자퇴, 휴학 중인 자④ 세종대학교 행복(공공)기숙사의 강제퇴사 이력 및 직전학기 벌점 합계 12점 이상인 자⑤ 입사 시 제출된 증빙서류가 입사 신청정보와 상이한 자⑥ 개장 직후 학적상태가 재학이 아닌 자⑦ 기타 기숙사 관장이 부적당하다고 인정하는 자
복지시설,기숙사 안내,환불
복지시설,기숙사 안내,정기입사 후에는 중도퇴사의 경우 30% 공제금액이 발생될 수 있으므로 반드시 관련 내용을 확인 후 신청바람.(※ 단, 예외사항 : 군입대, 휴학, 교환학생, 자퇴, 취업, 질병치료의 사유 발생 시 증빙서류 확인 후 환불가능)
복지시설,기숙사 안내,기숙사비
복지시설,기숙사 안내,기숙사 홈페이지 (http://happydorm.sejong.ac.kr ) 확인 바람.
복지시설,기숙사 안내,기타 문의사항
복지시설,기숙사 안내,No.사무실 명연락처문의사항1생활지도실02-3143-8200~1입사, 퇴사, 학생관리2행정실02-3143-8208~9신청, 환불3건설개발과02-3408-3119시설관리(전기, 소방, 냉난방, 영선)4기숙사식당-2016년도 기숙사 식당 미운영
복지시설,주차,구분분류주차요금 및 대상비고주차요금대상차량정기권교직원60,000원/학기15,000원/월교직원 및 산하기관(초·고교, 사이버대)재직증명서, 차량등록증시간강사 및 조교60,000원/학기15,000원/월3,000원/일조교,강사,연구원,임시(일용)직재직증명서, 차량등록증(시간강사는 경력증명서)대학원 및 특수대학원 등90,000원/학기25,000원/월3,000원/일석·박사과정, 특수대학원생, 벤처창업센터직원, 장애인탑승차글로벌지식교육원생(전문교육과정)신분증빙서류학교관련 업무차량 등150,000원/학기35,000원/월5,000원/일상주업체,공사차량,납품차량,예체능계학부생(대형악기소유자)음대학부생학과장협조문 제출최고경영자 과정20,000원/월3,000원/일주차관리실에 납부할인권행사차량(A)(본교 주관행사)4시간 2,000원 당 일 3,000원학회,세미나,각종발표회,음악회,전시회,체육대회,특강,동창회및 교육행사 등주차권 사전구입(선불권,직불권)행사차량(B)(각종 외부행사)당 일 4,000원각종 외부주관 행사주차권 사전구입(직불권,후불권)교직원방문차량(학교 업무 관련)2시간 무료 후 일반요금학교 관련 업무수행교직원이 방문자정보 온라인 입력장애인차량일반요금의 50% 감면장애인 탑승에 한함장애인 증명서세종초등학교학부모차량30분 무료 후 일반요금사전 등록된 차량에 한함(세종초 스티커 부착)단,입학식,졸업식은 무료일반권일반차량1,500원/30분(기본)초과 10분당 500원최대 2만원/일학생차량일반요금일반차량에 준함무료차량학교 공용차량무료법인명의공용차량,법인이사차량 등공공업무 수행차량무료입학식,학위수여식,개교기념행사,특강관련 초빙강사,학부·대학원및 사회교육원 등록차량(접수/면접/시험/등록금납부일)학교공사 관련 장비운반차량(적재물 하차직후 출차시에 한함),구급차,청소,우편물,소방,전화국,택배,인원수송용 임대버스,언론사, 관공서,현금수송,중장비,대형트럭,A/S차량 등증빙서류 제시* 정기권 주차 차량은 1인 1대 원칙* 학부생은 정기권 및 할인권 구매불가*  행사,세미나 등의 할인권은 해당 일자 스템프 날인하여 해당일에만 사용가능* 불법주차스티커 부착차량은 별도 혜택없이 일반요금 적용※문의 : 주차관리실 02-3408-3530 
복지시설,English Zone,English Zone은 학생 여러분들이 자연스러운 영어 환경에서 원어민 교수님과 ‘말하기 중심’의 실용적인 영어 학습을 위한 공간입니다.지금 English Zone을 방문하셔서 친절한 Staff들의 안내를 받으십시오.
복지시설,English Zone,회화 모임과 보드게임(Board Game)
복지시설,English Zone,평일 오전 10시 ~ 오후 5시까지 매 시간마다 누구나 참여할 수 있으며, 즐겁게 영어를 배울 수 있다.
복지시설,English Zone,금요일의 영화(Movie Friday)시청
복지시설,English Zone,개인학습
복지시설,English Zone,① 영어 인터뷰를 연습하고 녹음해 원어민 교수님으로부터 피드백(Feedback)을 받을 수 있는 시설 완비		② 영자신문(Herald Tribune), AFKN 방송 등을 이용 한 효과적인 개인 학습
복지시설,English Zone,대형 스크린이 있는 CNN룸과 STAFF룸
복지시설,English Zone,사전에 예약을 하면 회화 스터디 및 팀 프로젝트를 위해 활용할 수 있다.
복지시설,English Zone,기타
복지시설,English Zone,① 교환학생 프로그램② 취업 관련 정보공유③ 향후 진로 설계④ 어학연수 후 연습(Follow-up)
복지시설,English Zone,전화 :02)3408-3971|위치 :광개토관 B07
복지시설,대학서적/세종대기념품점,대학서적(도서, 문구판매)
복지시설,대학서적/세종대기념품점,국내유일의 대학구내서점 체인화 업체 
복지시설,대학서적/세종대기념품점,구분평일토요일3월08:30 ~ 20:0009:00 ~ 13:009월08:30 ~ 20:0009:00 ~ 13:00학기중09:00 ~ 19:0009:00 ~ 13:00(변동사항있음)방학중09:00 ~ 18:00운영없음
