intent,query,answer
경영학전공,과사무실 이메일,경영학전공 과사무실 이메일은 mnadpt@sejong.ac.kr입니다.
경영학전공,홈페이지,"경영학전공 홈페이지입니다.
경영학전공 : http://home.sejong.ac.kr/~mnadpt/"
경영학전공,공지사항,"경영학전공에서 제공하는 학과 공지사항입니다.
경영학전공 학과 공지사항 : http://home.sejong.ac.kr/~mnadpt/5.html"
경영학전공,취업공고,"경영학전공에서 제공하는 취업공고입니다.
경영학전공 취업공고 : http://home.sejong.ac.kr/~mnadpt/6.html"
경영학전공,전공소개,현대 산업사회의 제 조직이 요구하는 경영관리의 원리와 기법을 체계적으로 교육함으로써 과학적이고 합리적인 경영인과 미래의 경영교육을 담당할 인재를 양성하는데 교육의 목표를 두고 있으며 경영학의 포괄적인 이론과 기법을 충실히 교육하고 있습니다.
경영학전공,경영학전공 전공심화,"특정 세부분야별 모든 심화전공과목 B0이상 성적으로 이수 시 해당 심화전공 이수자로 인증한다. 최대 2개 심화전공까지 인증하는 것으로 하며, 졸업증명서에 ○○○심화전공으로 명시됩니다."
경영학전공,심화 전공별 전공심화 교과목 ,"HR : 인적자원관리, 조직관리, 노사관계론, 인적자원개발론
재무 : 기업재무, 투자론, 재무분석및가치평가(신설), 선물옵션이론, 채권분석
회계 : 회계원리2, 중급회계1, 원가회계, 세무회계
OM : 경영과학, 생산관리, 공급사슬관리, 관리경제학
마케팅 : 마케팅커뮤니케이션, 유통경로관리, 마케팅조사, 소비자행동론
MIS : 비즈니스애널리틱스, 경영데이터관리, 비즈니스인텔리전스, 비즈니스모델
보험 : 보험과리스크, 생명보험, 손해보험, 사회보험, 금융기관론"
경영학전공,주전공,"전공필수과목은 33학점, 전공선택과목은 48점 이상 이수해야 하며, 전공학점은 81점 이상이어야 합니다."
경영학전공,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
경영학전공,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
경영학전공,부전공,경영학전공 전공과목 중에서 21학점 이상 이수해야 합니다.
경영학전공,1학년 전공,"경영학전공 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 경제학원론(전필·3), 경영학원론(전필·3), 경영수학(전필·3)
[2학기] 경영통계학(전필·3), 회계원리1(전필·3), 경영기초수학(전선·3), 경영기초영어(전선·3), Introduction to Finance(전선·3)"
경영학전공,2학년 전공,"경영학전공 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 관리회계(전필·3), 재무관리(전필·3), 마케팅관리(전필·3), 비즈니스커뮤니케이션1(전선·3), 회계원리2(전선·3), Asian Business Culture(전선·3), Global Marketing(전선·3), 경영과학(전선·3)
[2학기] 조직행동론(전필·3), 경영정보론(전필·3), 생산관리(전필·3), 원가회계(전선·3), 투자론(전선·3), 기업재무(전선·3), 소비자행동론(전선·3), 마케팅조사(전선·3), 비즈니스커뮤니케이션2(전선·3), Marketing Practices in Asia(전선·3)"
경영학전공,3학년 전공,"경영학전공 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 국제경영론(전선·3), 인적자원관리(전선·3), 조직관리(전선·3), 중급회계1(전선·3), 세법(전선·3), 채권분석보험과리스크(전선·3), 마케팅커뮤니케이션(전선·3), 서비스마케팅(전선·3), 프랜차이즈시스템관리(전선·3), 경영데이터관리(전선·3), 전사적자원관리(전선·3), 비즈니스인텔리전스(전선·3), 경영과세계관(전선·3), CEO멘토링1(전선·3), 회사법(전선·3), 상업교과교육론(전선·3), 기업윤리와사회적책임(전선·3), International Retailing(전선·3), 손해보험(전선·3), IT비즈니스컨설팅(전선·3), 조직의이해(전선·3), 상업교수법(전선·3), 마케팅애널리틱스(전선·3), 비즈니스프로세스관리(전선·3), 의사결정론(전선·3), ESG경영(전선·3), 서비스운영관리(전선·3)
[2학기] 벤처경영론(전선·3), 인적자원개발론(전선·3), 전략경영(전선·3), 팀관리(전선·3), 중급회계2(전선·3), 세무회계선물옵션이론(전선·3), 금융기관론(전선·3), 보험수학(전선·3), 유통경로관리(전선·3), 관리경제학(전선·3), CEO멘토링2(전선·3), 상업교과교재연구및지도법(전선·3), 상업논리및논술(전선·3), Global Supply Chain Management and Sourcing(전선·3), Services Marketing in a Global Context(전선·3), Digital Marketing(전선·3), 소셜미디어분석(전선·3), 사이버보안경영론(전선·3), 디지털경영론(전선·3), 비즈니스세미나(전선·3), 계량경영분석(전선·3)"
경영학전공,4학년 전공,"경영학전공 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 노사관계론(전선·3), 회계감사(전선·3), 회계통제시스템(전선·3), 재무세미나(전선·3), 브랜드관리(전선·3), 인터넷마케팅(전선·3), 비즈니스모델(전선·3), 공급사슬관리(전선·3), Managing Multinational Corporations(전선·3), Comparative Management(전선·3), Global Business Negotiation(전선·3), 국제재무(전선·3), 금융위험관리(전선·3), 비즈니스애널리틱스(전선·3), 리더십(전선·3), Practices of Innovation in a Global Context(전선·3)
[2학기] 졸업연구및진로2(전선·1), 기업지배구조와회계부정(전선·3), 사회보험(전선·3), 산업마케팅(전선·3), 영업관리(전선·3), 마케팅사례(전선·3), 경영시뮬레이션(전선·3), Strategies for Asian Emerging Market(전선·3), Economic Integration in Asia(전선·3), IT industry in Korea(전선·3), 생명보험(전선·3), 재무분석및가치평가(전선·3), 로지스틱스(전선·3), Practices of Venture Creation(전선·3), 고급회계(전선·3), 재무통섭론(전선·3), 품질경영(전선·3)"
경영학전공,전공,"경영학전공 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 경제학원론(전필·3), 경영학원론(전필·3), 경영수학(전필·3)
[1학년 2학기] 경영통계학(전필·3), 회계원리1(전필·3), 경영기초수학(전선·3), 경영기초영어(전선·3), Introduction to Finance(전선·3)
[2학년 1학기] 관리회계(전필·3), 재무관리(전필·3), 마케팅관리(전필·3), 비즈니스커뮤니케이션1(전선·3), 회계원리2(전선·3), Asian Business Culture(전선·3), Global Marketing(전선·3), 경영과학(전선·3)
[2학년 2학기] 조직행동론(전필·3), 경영정보론(전필·3), 생산관리(전필·3), 원가회계(전선·3), 투자론(전선·3), 기업재무(전선·3), 소비자행동론(전선·3), 마케팅조사(전선·3), 비즈니스커뮤니케이션2(전선·3), Marketing Practices in Asia(전선·3) 
[3학년 1학기] 국제경영론(전선·3), 인적자원관리(전선·3), 조직관리(전선·3), 중급회계1(전선·3), 세법(전선·3), 채권분석보험과리스크(전선·3), 마케팅커뮤니케이션(전선·3), 서비스마케팅(전선·3), 프랜차이즈시스템관리(전선·3), 경영데이터관리(전선·3), 전사적자원관리(전선·3), 비즈니스인텔리전스(전선·3), 경영과세계관(전선·3), CEO멘토링1(전선·3), 회사법(전선·3), 상업교과교육론(전선·3), 기업윤리와사회적책임(전선·3), International Retailing(전선·3), 손해보험(전선·3), IT비즈니스컨설팅(전선·3), 조직의이해(전선·3), 상업교수법(전선·3), 마케팅애널리틱스(전선·3), 비즈니스프로세스관리(전선·3), 의사결정론(전선·3), ESG경영(전선·3), 서비스운영관리(전선·3)
[3학년 2학기] 벤처경영론(전선·3), 인적자원개발론(전선·3), 전략경영(전선·3), 팀관리(전선·3), 중급회계2(전선·3), 세무회계선물옵션이론(전선·3), 금융기관론(전선·3), 보험수학(전선·3), 유통경로관리(전선·3), 관리경제학(전선·3), CEO멘토링2(전선·3), 상업교과교재연구및지도법(전선·3), 상업논리및논술(전선·3), Global Supply Chain Management and Sourcing(전선·3), Services Marketing in a Global Context(전선·3), Digital Marketing(전선·3), 소셜미디어분석(전선·3), 사이버보안경영론(전선·3), 디지털경영론(전선·3), 비즈니스세미나(전선·3), 계량경영분석(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 노사관계론(전선·3), 회계감사(전선·3), 회계통제시스템(전선·3), 재무세미나(전선·3), 브랜드관리(전선·3), 인터넷마케팅(전선·3), 비즈니스모델(전선·3), 공급사슬관리(전선·3), Managing Multinational Corporations(전선·3), Comparative Management(전선·3), Global Business Negotiation(전선·3), 국제재무(전선·3), 금융위험관리(전선·3), 비즈니스애널리틱스(전선·3), 리더십(전선·3), Practices of Innovation in a Global Context(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 기업지배구조와회계부정(전선·3), 사회보험(전선·3), 산업마케팅(전선·3), 영업관리(전선·3), 마케팅사례(전선·3), 경영시뮬레이션(전선·3), Strategies for Asian Emerging Market(전선·3), Economic Integration in Asia(전선·3), IT industry in Korea(전선·3), 생명보험(전선·3), 재무분석및가치평가(전선·3), 로지스틱스(전선·3), Practices of Venture Creation(전선·3), 고급회계(전선·3), 재무통섭론(전선·3), 품질경영(전선·3)"
공과대학,학과 뭐 있어,"공과대학에는 건축공학과, 건축학과, 건설환경공학과, 환경에너지공간융합학과, 지구자원시스템공학과, 기계항공우주공학부, 나노신소재공학과, 양자원자력공학과, 국방시스템공학과, 항공시스템공학전공이 존재합니다."
공과대학,조교실 정보 좀,"공과대학 조교실 정보는 아래와 같습니다.
위치 : 충무관 407B호 / 전화 : 02-3408-3524"
공과대학,과사무실,"공과대학 과사무실 정보는 아래와 같습니다.
위치 : 충무관 407B호 / 전화 : 02-3408-3524"
공과대학,과사무실 위치,공과대학 과사무실 위치는 충무관 407B호입니다.
공과대학,과사무실 전화번호,공과대학 과사무실 전화번호는 02-3408-3524입니다.
건축공학과,조교실 정보 좀,"건축공학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 719호 / 전화 : 02-3408-3331 / 이메일 : constdpt@sejong.ac.kr"
건축공학과,과사무실,"건축공학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 719호 / 전화 : 02-3408-3331 / 이메일 : constdpt@sejong.ac.kr"
건축공학과,과사무실 위치,건축공학과 과사무실 위치는 충무관 719호입니다.
건축공학과,과사무실 전화번호,건축공학과 과사무실 전화번호는 02-3408-3331입니다.
건축공학과,이메일,건축공학과 과사무실 이메일은 constdpt@sejong.ac.kr입니다.
건축공학과,홈페이지,"건축공학과 홈페이지입니다.
건축공학과 : http://home.sejong.ac.kr/~constdpt/"
건축공학과,공지사항,"건축공학과에서 제공하는 학과 공지사항입니다.
건축공학과 학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=constdpt&menuID=16"
건축공학과,학과소개,"교육의 내용은 대부분 현실과 밀접한 관련을 가지고 있으며 공학적, 기술적 지식을 기반으로 하여 건축환경 및 설비, 건축시공 및 재료, 건축구조 등 건축의 생산과정을 효율적으로 관리할 수 있는 능력의 배양에 중점을 두고 있습니다."
건축공학과,주전공,"전공필수과목은 27학점, 전공선택과목은 36점 이상 이수해야 하며, 전공학점은 63점 이상이어야 합니다."
건축공학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
건축공학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
건축공학과,부전공,"건축공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 창의공학설계, 건축기초설계, 건축환경설계, 구조역학2, 건축시공, 공학설계A, 공학설계B입니다. 부전공 이수시 공학인증은 필수가 아닙니다."
건축공학과,1학년 전공,"건축공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 건축공학개론(전필·3)
[2학기] 건축기초설계(전필·3)"
건축공학과,2학년 전공,"건축공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 창의공학설계(전필·3), 건축구조시스템(전선·3), 건축환경개론(전선·3)
[2학기] 건축디지털설계(전필·3), 구조역학1(전필·3), 건축설비개론(전선·3)"
건축공학과,3학년 전공,"건축공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 건축환경설계(전필·3), 구조역학2(전필·3), 건축일반구조(전선·3), 건축기계설비시스템(전선·3), 철근콘크리트공학(전선·3), 건설관리및경영(전선·3)
[2학기] 건축시공(전선·3), 건축법규(전선·3), 건축구조해석(전선·3), 건축환경설비해석(전선·3), 건축재료(전선·3), 특수구조개론(전선·3), 철근콘크리트설계(전선·3)"
건축공학과,4학년 전공,"건축공학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 공학설계A(전필·3), 철골구조(전선·3), 구조계획및설계(전선·3), 건축전기설비시스템(전선·3), 건축실무(전선·3), 졸업연구및진로1(전선·1)
[2학기] 공학설계B(전필·3), 컴퓨터구조해석(전선·3), 건축조명(전선·3), 스마트구조개론(전선·3), 건설IT(전선·3), 졸업연구및진로2(전선·1)"
건축공학과,전공,"건축공학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 건축공학개론(전필·3)
[1학년 2학기] 건축기초설계(전필·[)
[2학년 1학기] 창의공학설계(전필·3), 건축구조시스템(전선·3), 건축환경개론(전선·3)
[2학년 2학기] 건축디지털설계(전필·3), 구조역학1(전필·3), 건축설비개론(전선·3)
[3학년 1학기] 건축환경설계(전필·3), 구조역학2(전필·3), 건축일반구조(전선·3), 건축기계설비시스템(전선·3), 철근콘크리트공학(전선·3), 건설관리및경영(전선·3)
[3학년 2학기] 건축시공(전선·3), 건축법규(전선·3), 건축구조해석(전선·3), 건축환경설비해석(전선·3), 건축재료(전선·3), 특수구조개론(전선·3), 철근콘크리트설계(전선·3)
[4학년 1학기] 공학설계A(전필·3), 철골구조(전선·3), 구조계획및설계(전선·3), 건축전기설비시스템(전선·3), 건축실무(전선·3), 졸업연구및진로1(전선·1)
[4학년 2학기] 공학설계B(전필·3), 컴퓨터구조해석(전선·3), 건축조명(전선·3), 스마트구조개론(전선·3), 건설IT(전선·3), 졸업연구및진로2(전선·1)"
건축공학과,공학인증,"건축공학과 공학인증 홈페이지입니다.
건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0701.html"
건축공학과,07학번 공학인증,"07학번 건축공학과 공학인증 홈페이지입니다.
07학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_1.html"
건축공학과,08학번 공학인증,"08학번 건축공학과 공학인증 홈페이지입니다.
08학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_2.html"
건축공학과,09학번 공학인증,"09학번 건축공학과 공학인증 홈페이지입니다.
09학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_3.html"
건축공학과,10학번 공학인증,"10학번 건축공학과 공학인증 홈페이지입니다.
10학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_4.html"
건축공학과,11학번 공학인증,"11학번 건축공학과 공학인증 홈페이지입니다.
11학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_5.html"
건축공학과,12학번 공학인증,"12학번 건축공학과 공학인증 홈페이지입니다.
12학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_6.html"
건축공학과,13학번 공학인증,"13학번 건축공학과 공학인증 홈페이지입니다.
13학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_7.html"
건축공학과,14학번 공학인증,"14학번 건축공학과 공학인증 홈페이지입니다.
14학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_8.html"
건축공학과,15학번 공학인증,"16학번 건축공학과 공학인증 홈페이지입니다.
16학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_9.html"
건축공학과,16학번 공학인증,"16학번 건축공학과 공학인증 홈페이지입니다.
16학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_10.html"
건축공학과,17학번 공학인증,"17학번 건축공학과 공학인증 홈페이지입니다.
17학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_11.html"
건축공학과,18학번 공학인증,"18학번 건축공학과 공학인증 홈페이지입니다.
18학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_12.html"
건축공학과,19학번 공학인증,"19학번 건축공학과 공학인증 홈페이지입니다.
19학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_13.html"
건축공학과,20학번 공학인증,"20학번 건축공학과 공학인증 홈페이지입니다.
20학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_14.html"
건축공학과,21학번 공학인증,"21학번 건축공학과 공학인증 홈페이지입니다.
21학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_15.html"
건축공학과,22학번 공학인증,"22학번 건축공학과 공학인증 홈페이지입니다.
22학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_16.html"
건축공학과,23학번 공학인증,"23학번 건축공학과 공학인증 홈페이지입니다.
23학번 건축공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program0702_17.html"
건축학과,조교실 정보 좀,"건축학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 225호 / 전화 : 02-3408-3434"
건축학과,과사무실,"건축학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 225호 / 전화 : 02-3408-3434"
건축학과,과사무실 위치,건축학과 과사무실 위치는 충무관 225호입니다.
건축학과,과사무실 전화번호,건축학과 과사무실 전화번호는 02-3408-3434입니다.
건축학과,홈페이지,"건축학과 홈페이지입니다.
건축학과 : https://www.architecture.sejong.ac.kr/"
건축학과,공지사항,"건축학과에서 제공하는 학과 공지사항입니다.
건축학과 학과 공지사항 : https://www.architecture.sejong.ac.kr/notice/categories/notice"
건축학과,건축계정보,"건축학과에서 제공하는 건축계정보입니다.
건축계정보 : https://www.architecture.sejong.ac.kr/notice/categories/info"
건축학과,채용공고,"건축학과에서 제공하는 채용공고입니다.
건축학과 채용공고 : https://www.architecture.sejong.ac.kr/notice/categories/career"
건축학과,학과소개,"건축학과에는 건축설계, 도시설계, 첨단 디지털건축, 건설사업관리(CM), 역사이론, 인테리어 등 다양한 전공의 교수진과 연구실을 중심으로 관련 분야의 교육과 연구를 실시하고 있습니다."
건축학과,주전공,"전공필수과목은 99학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 123점 이상이어야 합니다."
건축학과,복수전공,"전공필수과목은 99학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 123점 이상이어야 합니다."
건축학과,복전,"전공필수과목은 99학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 123점 이상이어야 합니다."
건축학과,부전공,건축학과 전공과목 중에서 51학점 이상 이수해야 합니다.
건축학과,1학년 전공,"건축학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 건축학개론(전필·3)
[2학기] 기초스튜디오(전필·3), 디로잉스튜디오(전필·3)"
건축학과,2학년 전공,"건축학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 스튜디오1(전필·6), 건축디지털디자인1(전필·3), 서양건축사(전필·3), 표현과매체(전선·3)
[2학기] 스튜디오2(전필·6), 건축구조개론(전필·3), 현대건축사(전필·3), 건축디지털디자인2(전선·3)"
건축학과,3학년 전공,"건축학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 스튜디오3(전필·6), 건축시공및관리(전필·3), 건축환경개론(전필·3), 건축법제도(전필·3)
[2학기] 스튜디오4(전필·6), 건축설비(전필·3), 도시설계(전필·3), 재료와디테일(전필·3), 건축경제학(전필·3)"
건축학과,4학년 전공,"건축학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 스튜디오5(전필·6), 프로젝트관리론(전필·3), 건축구조역학(전선·3), 도시계획(전선·3), 디지털패브리케이션(전선·3)
[2학기] 스튜디오6(전필·6), 건설경영(전필·3), 한국건축사(전필·3), 인테리어(전선·3), 주거론(전선·3)"
건축학과,5학년 전공,"건축학과 5학년 전공수업 목록은 아래와 같습니다.
[1학기] 스튜디오7(전필·6), 졸업작품(전필·0), 건축실무(전필·3), 공간과사회(전필·3), 졸업연구및진로1(전선·1)
[2학기] 졸업작품(전필·0), 포트폴리오연구(전필·3), 졸업연구및진로2(전선·1)"
건축학과,전공,"건축학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 건축학개론(전필·3)
[1학년 2학기] 기초스튜디오(전필·3), 디로잉스튜디오(전필·3)
[2학년 1학기] 스튜디오1(전필·6), 건축디지털디자인1(전필·3), 서양건축사(전필·3), 표현과매체(전선·3)
[2학년 2학기] 스튜디오2(전필·6), 건축구조개론(전필·3), 현대건축사(전필·3), 건축디지털디자인2(전선·3)
[3학년 1학기] 스튜디오3(전필·6), 건축시공및관리(전필·3), 건축환경개론(전필·3), 건축법제도(전필·3)
[3학년 2학기] 스튜디오4(전필·6), 건축설비(전필·3), 도시설계(전필·3), 재료와디테일(전필·3), 건축경제학(전필·3)
[4학년 1학기] 스튜디오5(전필·6), 프로젝트관리론(전필·3), 건축구조역학(전선·3), 도시계획(전선·3), 디지털패브리케이션(전선·3)
[4학년 2학기] 스튜디오6(전필·6), 건설경영(전필·3), 한국건축사(전필·3), 인테리어(전선·3), 주거론(전선·3)
[5학년 1학기] 스튜디오7(전필·6), 졸업작품(전필·0), 건축실무(전필·3), 공간과사회(전필·3), 졸업연구및진로1(전선·1)
[5학년 2학기] 졸업작품(전필·0), 포트폴리오연구(전필·3), 졸업연구및진로2(전선·1)"
건설환경공학과,조교실 정보 좀,"건설환경공학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 718호 / 전화 : 02-3408-3332"
건설환경공학과,과사무실,"건설환경공학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 718호 / 전화 : 02-3408-3332"
건설환경공학과,과사무실 위치,건설환경공학과 과사무실 위치는 충무관 718호입니다.
건설환경공학과,과사무실 전화번호,건설환경공학과 과사무실 전화번호는 02-3408-3332입니다.
건설환경공학과,홈페이지,"건설환경공학과 홈페이지입니다.
건설환경공학과 : http://home.sejong.ac.kr/~builddpt/"
