대분류,소분류,내용
IT서비스,Virus백신설치(교내),운영체제한글판EnglishWindows (32bit)한글판EnglishWindows (64bit)한글판EnglishMAC O/S한글판EnglishLINUX O/SEnglish※ 기타 문의 사항은 (3408-4184)로 문의 바랍니다.IT서비스,메일서비스안내,개요
IT서비스,메일서비스안내,					교직원 웹메일 및 재학생용 Office365 메일은 세종인을 위한 메일계정 서비스로서 WEB, POP3 서비스를 제공하며 일반 웹 브라우저에서 별도의 환경설정없이 인터넷이 연결된 모든 컴퓨터에서 메일을 송.수신 하거나, POP3 메일(MS Office Outlook 등)을 사용하여 송/수신 할 수 있다.				
IT서비스,메일서비스안내,서비스대상
IT서비스,메일서비스안내,교직원 / 학과대표메일(조교) / 연구소직원 업무용 : 교직원 웹메일 이용학부 및 대학원생 / 대학원생 및 교직원 보조메일 : Office 365 메일 이용
IT서비스,메일서비스안내,서비스기간 / 내역 
IT서비스,메일서비스안내,사용자메일주소사용기간메일용량비고							학부생/대학원생							(기타 구성원 전체)						신청ID@sju.ac.kr재학중						    (재직중)50GBOffice 365 계정(메일)							교직원(겸임 및 강사 제외)/연구원							학과대표메일/연구소/업무용						신청ID@sejong.ac.kr재직중10GB교직원 업무용 웹메일
IT서비스,메일서비스안내,메일아이디 신청방법 / 패스워드 규칙
IT서비스,메일서비스안내,사용자아이디패스워드신청방법							학부생/대학원생							(기타 구성원 전체)						신청ID8자이상 권장(영문+숫자+특수문자)포털(통합 로그인)로그인 후 → “IT서비스” → “오피스365계정신청“ 클릭교직원(겸임 및 강사 제외)						    연구원신청ID8자이상 권장(영문+숫자+특수문자)※ 교직원은 포탈에서 비밀번호 변경가능교직원 웹메일“계정 신청” 클릭 후 직접입력학과대표메일/연구소/업무용신청ID							8자이상 권장(영문+숫자+특수문자)													협조문 발송(그룹웨어)						
IT서비스,메일서비스안내,메일 로그인 주소
IT서비스,메일서비스안내,교직원 / 학과대표메일(조교) / 연구소 / 업무용 : http://mail.sejong.ac.kr재학생(학부 및 대학원생) 메일서비스 바로가기 : http://mail.office365.com
IT서비스,메일서비스안내,문의
IT서비스,메일서비스안내,교직원(학과 및 업무용) 메일: 02-3408-3437재학생 메일(Office365 계정): 02-3408-4184
IT서비스,오피스365계정신청,Office 365란?
IT서비스,오피스365계정신청,학교에 꼭 필요한 Office 프로그램, 메일, 일정, 문서관리, 협업 등을 원스톱으로 제공하는 클라우드 서비스
IT서비스,오피스365계정신청,Office 365 주요 기능
IT서비스,오피스365계정신청,가. 설치형Office : 윈도우나 맥에 상관없이 5대의 PC와 5대의 스마트폰에 최신 Office를 설치하여 사용 가능나. Exchange 온라인: 50GB의 메일 사서함 제공. 스마트폰.태블릿에서 메일, 일정, 주소록 관리 가능다. SharePoint 온라인 : 팀사이트를 만들어 문서를 공유하고 연구 등 협업라. OneDrive : 파일 저장 및 공유 .학교 수업이나 팀 문서를 안전하게 저장할 수 있는 1TB의 개인용 스토리지마. Lync 온라인: 메신저,파워포인트나 데스크톱을 공유하는 화상회의 및 온라인 교육에 활용
IT서비스,오피스365계정신청,Office 365 계정 아이디
IT서비스,오피스365계정신청,아이디는 메일주소의 형태를 가집니다.사용자ID@sju.ac.kr 주소로 계정이 생성됩니다.				 - 재학생 : id@sju.ac.kr 을 주 메일로 활용				 - 교직원 : 기존 id@sejong.ac.kr 을 주 메일로 사용하고 id@sju.ac.kr을 보조 메일로 활용
IT서비스,오피스365계정신청,신청자격(사용기간)
IT서비스,오피스365계정신청,재학 중인 학부생 및 대힉원생 (미래교육원, 국제교육원 학생은 제외)재직 중인 교직원(전임 교원, 비전임 교원, 정규직원, 계약직원, 조교 포함)재직 중인 연구원(산학협력단에서 직번이 발급된 연구원)※ 졸업(수료, 제적, 자퇴) 및 퇴직한 사용자의 경우에는 신청 및 사용이 불가합니다. 
IT서비스,오피스365계정신청,계정 탈퇴(삭제)
IT서비스,오피스365계정신청,졸업(수료, 자퇴, 제적)하거나 퇴직한 경우 해당 학기 마지막일(8월 31일, 2월 28일) 자동으로 탈퇴 처리됩니다.※ 졸업(수료, 자퇴, 제적) 예정인 학생 및 퇴직 예정인 교직원은 자동 탈퇴 처리 전에 미리 백업을 완료해야 합니다.  
IT서비스,오피스365계정신청,신청 방법
IT서비스,오피스365계정신청,“포털(http://portal.sejong.ac.kr) 로그인” → “IT서비스” → “오피스 365 계정신청“ 클릭또는, ”대학 홈페이지(http://www.sejong.ac.kr)“ → ”주요서비스“(화면 중앙 하단) → ”세종포털“ → “IT서비스” → “오피스365계정신청“ 클릭
IT서비스,오피스365계정신청,문의
IT서비스,오피스365계정신청,전산정보실 전산운영과 : 02-3408-4184
IT서비스,공용소프트웨어안내(교내),공용소프트웨어 목록
IT서비스,공용소프트웨어안내(교내),사용가능 소프트웨어교내 사이트 라이선스(1년 임대)언어MicrosoftWindows Upgrade to Pro 10※ 컴퓨터(PC,노트북 등) 구입 시 Windows OS를 포함하지 않은 컴퓨터에는 설치(Upgrade) 불가KorEngOffice Pro 2016, 2019, 2021Visual Studio Professional 2017, 2019※ 교육 및 비영리 연구 목적에 한함상업용도, 행정용도, 서비스 목적의 사용은 불가한글과 컴퓨터한컴오피스2018, 2020, 2022Windows용							※ 개별로 사용하는 Mac용은 별도 구매 후 사용							※ Mac용은 개인이 별도 구매 후 사용해야 함						AdobeAdobe Creative Cloud(20개 이상의 앱)							• Lab Free(대학내 공용 PC에 설치)							※ 대학 외부에서 설치 및 사용 불가							※ 교직원 개인 PC나 노트북에도 설치(사용) 해야만할 경우에는 전산운영과에 별도 문의 바람						바이러스 백신							SEP(Symantec Endpoint Protection 14)							- Windows, Linux 서버 및 Mac의 운영체제 지원						교내바이러스 백신 설치하기PC 백업Symantec Ghost Solution Suite다운로드 : 교직원 웹메일(공용파일박스)알툴즈알집, 알씨, 알송, 알드라이브, 알캡쳐, 알PDF, 알키퍼, 랜섬쉴드PC, 알약(노트북, 개인 PC에만 설치권장)다운로드 : 교직원 웹메일(공용파일박스)							Kor													참고문헌							관리도구						EndNote참고문헌관리도구 설치하기
IT서비스,공용소프트웨어안내(교내),설치범위
IT서비스,공용소프트웨어안내(교내),세종대학교 교내에서 사용하는 업무용 PC(자산으로 등록된)에서만 사용 가능합니다. (Office365 와 MathLab은 개인 PC에서도 사용가능)교외에서 사용할 경우 저작권법에 저촉되어 처벌을 받을 수 있습니다.
IT서비스,공용소프트웨어안내(교내),대여신청 대상 : 교직원 및 조교(교수 확인)
IT서비스,공용소프트웨어안내(교내),※ 대학 내 별도 회계법인(교내 벤처기업 포함), 교내 상주 외부기관(입주기업, 수익사업체 등)에서의 사용 불가※ 외부 일반인을 대상으로 하는 강좌(예:평생교육원, 어학원 등) 등에 사용 불가
IT서비스,공용소프트웨어안내(교내),대여장소 : 학술정보원(2층) AV 대출실
IT서비스,공용소프트웨어안내(교내),대여시 필요서류 : 소프트웨어 관외 대출 신청서 작성
IT서비스,공용소프트웨어안내(교내),주의
IT서비스,공용소프트웨어안내(교내),※ 2일 반납이 원칙입니다. (지연반납/미반납 시 추가 대여를 하지 않으며, 도서대출 또한 제한됩니다.)※ 기타 문의사항 및 소프트웨어 대여가능 여부는 도서관 대출실(3408-3073)로 전화하시기 바랍니다.
IT서비스,공용소프트웨어안내(교내),개인소유(재학생 및 교직원) 컴퓨터에 설치 가능한 소프트웨어
IT서비스,공용소프트웨어안내(교내),사용가능 소프트웨어교내 사이트 라이선스 유지기간 동안 사용가능언어Office 365 계정아이디@sju.ac.kr 메일주소를 발급받아 사용(50GB 용량)재학생용 메일교직원용 보조메일설치형 Office 제공(온라인 버전)5대의 PC와 5대의 스마트폰에 최신 Office 설치하여 사용가능포털(통합 로그인)							로그인 후 → “IT서비스” → “오피스365계정신청							※ 재학(재직) 기간 중에만 사용 가능함※ 졸업(자퇴/제적/수료) 및 퇴직 후에는 메일 계정 및 모든 데이터가 삭제되니 미리 백업을 완료해 주시기 바랍니다접속주소 (http://portal.office.com)KorEngWindows 10Education업그레이드사용권한 : 재학생만 가능※ 졸업(수료)생 및 교직원은 제외정품 Windows가 설치된 개인 소유의 컴퓨터 1대에 대해 Windows 10 Education으로 무료 업그레이드 할 수 있는 권한을 제공사전 준비 사항재학생용 메일 계정(Office365) 생성가입(등록) → 로그인 → 다운로드http://sejong.onthehub.comVisualStudioCommunity대상 : 개인 개발자(개발 및 테스트 목적)Android, iOS 및 Windows용 최신 응용 프로그램 뿐 아니라 웹 응용 프로그램 및 클라우드 서비스를 만들기 위한 모든 기능을 갖춘 확장 가능한 무료 IDE이용방법(다운로드)https://visualstudio.microsoft.com/ko/vs/communityMATLAB최신 버젼(64bit만 지원)MATLAB Campus-Wide Suite(95 여가지 Toolbox)MathWorks Academy On-line Traning SuiteMATLAB Grader※ 개인 PC 및 노트북에도 설치 가능									온라인 설치(세종대 메일주소가 있는 재학생/교직원)									세종대학교 전용 MATLAB 포털사이트 가입 후 설치									(https://kr.mathworks.com/academia/tah-portal/sejong-university-1091521.html)								재학생 : Office365 메일(ID@sju.ac.kr) 사용교직원 : 교직원 웹메일 계정(ID@sju.ac.kr) 사용									Mathlab 설치 및 온라인 교육 안내(download)Eng
IT서비스,공용소프트웨어안내(교내),공용소프트웨어 대여 흐름도
IT서비스,공용소프트웨어안내(교내),
IT서비스,공용소프트웨어안내(교내),신청한 당일부터 사용 가능학생이 직접 대출은 불가하며, 소프트웨어 관외 대출 신청서 제출 및 확인후 도서대출과 동일하게 대출
IT서비스,공용소프트웨어안내(교내),소프트웨어 분류 및 사용범위
IT서비스,공용소프트웨어안내(교내),쉐어웨어나 프리웨어의 공공기관 사용여부								쉐어웨어								(Shareware)							자유롭게 사용하거나 복사할 수 있도록 시장에 공개하고 있는 소프트웨어.제조사들이 정품 구매를 확대하기 위해 공급하는 일종의 샘플로, 자유롭게 사용하거나 복사할 수 있지만 판권은 공개한 쪽에 남아 있으며 일정기간 사용한 뒤에는 대금을 지불하고 정식사용자로 등록해야 한다.저작권사의 라이센스 조항에 명시한 사용조건을 벗어나면 모두 불법 (학교에서 사용하려면 저작권사의 사용허락 필요)날짜, 횟수 등에 제한을 둔 경우 사용가능 범위내에서만 사용향후 프로그램저작권사의 의사에 따라 상용S/W로 전환할 수도 있음								프리웨어								(Freeware)															프리웨어는 셰어웨어와 비슷한 개념이나 기간의 제한 없이 사용자들이 자유롭게 이용할 수 있다. 그러나 이것은 일반 사용자에 한한 것이고 기업 업무용 PC에서 사용하는 등의 상업적 용도로는 사용할 수 없다.							정품S/W와 불법S/W 구별방법								정품S/W															저작권자 혹은 저작권자의 허락을 받아서 정당하게 복제 배포된 프로그램으로 소프트웨어 제품을 사용하는 것은 최종 사용자 사용권 계약서를 읽고 그 조건에 동의하였음을 의미합니다.							불법S/W소프트웨어 불법복제란 “저작권자의 명백한 동의 없이 불법적으로 소프트웨어의 내용을 복사한 것”을 말하며, 소프트웨어의 단순 복사, 하드디스크 저장, 대여, 위조, 온라인 유통 등의 유형을 모두 포함한다. 현행 컴퓨터프로그램보호법은 정당한 권원없이 다른 사람의 프로그램저작권을 복제, 개작, 번역, 배포, 발행 및 전송의 방법으로 침해해서는 안 되며, 이를 위반하는 자는 형사처벌하도록 규정하고 있다.흔히 허용되는 것으로 착각하기 쉬운 불법복제의 사례를 들면...친구로부터 정품 CD를 빌려 내 컴퓨터에 프로그램을 설치한 경우PC구입시 판매처에서 서비스 차원에서 라이센스 없는 윈도우를 무상으로 설치한 경우인터넷 또는 PC통신을 이용하여 정품 소프트웨어를 다운받아 설치한 경우2대의 컴퓨터를 보유하고 있는 자가 정품 한글 CD1장을 구입하여 두 대의 컴퓨터에 설치한 경우A학교에서 구입한 프로그램을 B학교에서 구입한 프로그램과 교환하여 사용한 경우통신망을 이용하여 프로그램 전송권을 침해하는 경우 (불법S/W)저작권자의 허락없이 프로그램을 유선 혹은 무선으로 전송하는 행위 일체개인노트북에프로그램을 불법복제한 후 사무실에 가져와 사용하다 적발이 되는 경우사내 네트워크망과 서버를 이용해 정품 프로그램 1개를 불특정 다수 (2인이상)가 사용하는 경우저작권자의 허락없이 프로그램을 통신망(홈페이지, BBS게시판)에 올리는 경우저작권자의 허락없이 PC, 플로피디스크, CD-ROM등의 매체에 복사하거나 설치하는 경우저작권자의 허락없이 전송할 목적으로 시스템의 RAM에 저장하는 경우PC에 내장해 사용하도록 허락한 번들용 S/W를 CD-ROM등의 매체에 복사해 배포하는 경우백업용으로 복사한 S/W를 다른 PC에 설치하여 이용하거나 판매 또는 제3자에게 제공하는 경우정품 S/W의 소지 및 사용권을 계약만료 등으로 상실한 상태에서 복제물을 보유 및 사용하는 경우불법S/W 처벌 및 기준1) 불법복제에 대한 처벌규정은 3년이하의 징역또는5,000만원 이하의 벌금형입니다. 상습적인 침해자인경우에는 5년이하, 7,000만원이하의 벌금형까지 가능합니다. 적발이 된 경우에 사용자 및 회사의 대표에게 모두 책임을 묻게 됩니다.2) 검열에 임했을 때 프로그램을 지우거나 하드를 포맷하는 등의 행동을 하면 증거 인멸죄로 처벌을 받게 됩니다.3) 단속시 기준이 되는 것은 공간(사이트)개념입니다. 예를 들어 새롬데이터맨프로 IMF버전을 노트북에설치하고 집에서 사용하면 문제가 없지만 회사에서 사용하면 업무용이 되기 때문에 불법 복제가 되는 것입니다.
IT서비스,공용소프트웨어안내(교내),소프트웨어 등의 저작권 침해행위(불법 소프트웨어 사용 등)에 대한 처벌규정저작권법]
IT서비스,공용소프트웨어안내(교내),5년 이하 징역 또는 5,000만원 이하의 벌금에 처하거나 이를 병과(복제권, 공중송신권, 배포권 등의 침해) 3년 이하 징역 또는 3,000만원 이하의 벌금에 처하거나 이를 병과(불법 소프트웨어임을 알면서 취득한 자가 이를 업무상 이용한 경우)행위자 및 기관 양벌, 민사상 손해배상 책임
IT서비스,공용소프트웨어안내(교내), ※ 저작권법 제125조(손해배상의 청구), 제136조(벌칙), 제141조(양벌규정) 등
IT서비스,공용소프트웨어안내(교내),저작권 관련 인터넷 참고사이트
IT서비스,공용소프트웨어안내(교내), 한국저작권위원회 (http://www.copyright.or.kr) : 무료 온라인 교육 제공 저작권보호센터 (http://www.kcopa.or.kr) / (http://info.kcopa.or.kr)  한국소프트웨어저작권협회 (http://www.spc.or.kr)
IT서비스,유선인터넷설정,Window7/8/10
IT서비스,유선인터넷설정,예제에서는 컴퓨터 IP 주소를 210.107.239.000으로 사용하였다.
IT서비스,유선인터넷설정,(210.107.239.000는 실제 주소가 아니므로 자신의 IP주소를 입력한다)
IT서비스,유선인터넷설정,01. 바탕화면 오른쪽 하단의 네트워크 아이콘을 오른쪽 클릭, 네트워크 및 공유센터 열기를 클릭한다.
IT서비스,유선인터넷설정,02. 어댑터 설정 변경을 클릭한다.
IT서비스,유선인터넷설정,03. 로컬 영역 연결을 오른쪽 클릭 후 속성을 클릭한다.
IT서비스,유선인터넷설정,04. Internet Protocol Version 4 (TCP/IPv4)를 선택하고 속성을 클릭한다.
IT서비스,유선인터넷설정,05. 다음 IP 주소 사용에 체크한다.
IT서비스,유선인터넷설정,06. 확인버튼을 클릭한다
IT서비스,IP주소(케이블)신청,IP ADDRESS 부여 대상
IT서비스,IP주소(케이블)신청,세종대학교에 소속된 교직원 및 재학생(단, 학술전산처장이 필요하다고 인정하는 자 등으로 한다.)접속할 수 있는 포트가 있는 경우에만 IP신청이 가능하며, 그 이외의 경우 신청이 처리되지 않습니다.
IT서비스,IP주소(케이블)신청,IP ADDRESS 신청시 유의사항
IT서비스,IP주소(케이블)신청,반드시 책임자(교수, 직원)의 확인을 받아서 조교실을 통하여 신청하여 주십시오.※ 자세한 사항은 (전화 : 3408-4184)로 문의 바랍니다.
IT서비스,IP주소(케이블)신청,Lan-Cable 지급 대상
IT서비스,IP주소(케이블)신청,사용중인 랜케이블이 불량인 경우 - 전산운영과 서버실(학술정보원 8층)통해 랜케이블 수령신규 랜설치의 경우 - 전산정보원과 사전 협의에 해당하는 경우에만 지급
IT서비스,IP주소(케이블)신청,Lan-Cable 신청시 유의사항
IT서비스,IP주소(케이블)신청,반드시 책임자(교수, 직원)의 확인을 받아서 신청하여 주십시오.전화로 시간 확인 후 방문 부탁드립니다.※ 자세한 사항은 (전화 : 3408-4184)로 문의 바랍니다.
